WKT,name,description
POINT (102.604004 -0.812369),T.363,T.363 BB+9
POINT (102.600604 -0.808895),T.364,T.364 BB+12
POINT (102.598317 -0.806558),T.365,T.365 BB+15
POINT (102.595115 -0.803287),T.366,T.366 AA+0
POINT (102.59285 -0.800972),T.367,T.367 AA+9
POINT (102.589833 -0.797889),T.368,T.368 AA+9
POINT (102.587293 -0.795294),T.369,T.369 AA+12
POINT (102.584675 -0.792619),T.370,T.370 AA+12
POINT (102.581721 -0.789601),T.371,T.371 AA+9
POINT (102.579536 -0.787368),T.372,T.372 AA+0
POINT (102.575971 -0.783726),T.373,T.373 AA+9
POINT (102.572666 -0.780348),T.374,T.374 BB+9
POINT (102.570356 -0.777989),T.375,T.375 BB+3
POINT (102.567727 -0.775301),T.376,T.376 BB+3
POINT (102.564869 -0.772374),T.377,T.377 AA+3
POINT (102.562689 -0.770123),T.378,T.378 AA+9
POINT (102.559624 -0.766988),T.379,T.379 BB+0
POINT (102.55679 -0.764132),T.380,T.380 CC+0
POINT (102.555167 -0.761447),T.381,T.381 AA+0
POINT (102.55313 -0.758002),T.382,T.382 AA+9
POINT (102.550834 -0.754213),T.383,T.383 AA+9
POINT (102.548537 -0.750434),T.384,T.384 AA+0
POINT (102.54633 -0.74679),T.385,T.385 AA+3
POINT (102.544258 -0.743318),T.386,T.386 AA+3
POINT (102.542333 -0.740151),T.387,T.387 AA+6
POINT (102.539936 -0.736219),T.388,T.388 BB+9
POINT (102.537984 -0.732995),T.389,T.389 AA6
POINT (102.535852 -0.72951),T.390,T.390 AA+9
POINT (102.533825 -0.726102),T.391,T.391 AA+3
POINT (102.531725 -0.722594),T.392,T.392 AA+6
POINT (102.529662 -0.719131),T.393,T.393 AA+3
POINT (102.527563 -0.715668),T.394,T.394 AA+3
POINT (102.525473 -0.712214),T.395,T.395 AA+0
POINT (102.523426 -0.708803),T.396,T.396 AA+0
POINT (102.521319 -0.70527),T.397,T.397 CC+3
POINT (102.517726 -0.703387),T.398,T.398 AA+3
POINT (102.514075 -0.701442),T.399,T.399 AA+3
POINT (102.510458 -0.699587),T.400,T.400 AA+6
POINT (102.506652 -0.697606),T.401,T.401 AA+0
POINT (102.503968 -0.696185),T.402,T.402 AA+3
POINT (102.499767 -0.693824),T.403,T.403 AA+3
POINT (102.496033 -0.69206),T.404,T.404 AA+3
POINT (102.492496 -0.690031),T.405,T.405 AA+9
POINT (102.488712 -0.688069),T.406,T.406 BB+6
POINT (102.484165 -0.685728),T.407,T.407 AA+12
POINT (102.480633 -0.683874),T.408,T.408 AA+9
POINT (102.478084 -0.682525),T.409,T.409 AA+12
POINT (102.474504 -0.680632),T.410,T.410 AA+3
POINT (102.470851 -0.678667),T.411,T.411 AA+3
POINT (102.467161 -0.676728),T.412,T.412 AA+3
POINT (102.463753 -0.6749),T.413,T.413 CC+3
POINT (102.461066 -0.674267),T.414,T.414 AA+6
POINT (102.457994 -0.673543),T.415,T.415 AA+6
POINT (102.453813 -0.672558),T.416,T.416 BB+0
POINT (102.450971 -0.671889),T.417,T.417 BB+9
POINT (102.447407 -0.671046),T.418,T.418 BB+0
POINT (102.442344 -0.669825),T.420,T.420 BB+0
POINT (102.438983 -0.66899),T.421,T.421 AA+0
POINT (102.435664 -0.668166),T.422,T.422 AA+0
POINT (102.431357 -0.667097),T.423,T.423 AA+0
POINT (102.428686 -0.666434),T.424,T.424 AA+3
POINT (102.425547 -0.665655),T.425,T.425 BB+0
POINT (102.422546 -0.66491),T.425A,T.425A AA+12
POINT (102.419766 -0.664219),T.426,T.426 BB+0
POINT (102.415417 -0.663141),T.427,T.427 BB+3
POINT (102.410054 -0.661811),T.428,T.428 AA+6
POINT (102.406651 -0.660966),T.429,T.429 AA+0
POINT (102.403626 -0.660206),T.430,T.430 AA+0
POINT (102.3999 -0.659269),T.431,T.431 AA+9
POINT (102.395846 -0.658249),T.432,T.432 AA+3
POINT (102.391437 -0.65714),T.433,T.433 AA+0
POINT (102.388678 -0.656472),T.434,T.434 AA+6
POINT (102.384906 -0.655564),T.435,T.435 AA+0
POINT (102.380457 -0.654493),T.436,T.436 BB+3
POINT (102.374678 -0.653102),T.437,T.437 BB+0
POINT (102.371338 -0.652293),T.438,T.438 AA+6
POINT (102.368735 -0.651659),T.439,T.439 AA+0
POINT (102.365377 -0.650889),T.440,T.440 AA+0
POINT (102.361337 -0.649852),T.441,T.441 AA+15
POINT (102.357331 -0.648893),T.442,T.442 AA+12
